task,horizon,local_model,global_model,fold,ticker,n,local_primary,global_primary,global_improvement_vs_local_pct,test_start,test_end
regression,1,ridge,ridge,5,JPM,246,0.01424235961848885,0.014039878069933025,1.4216854087364261,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,MSFT,247,0.021707116522043404,0.020814178011961455,4.113574961350469,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,NVDA,247,0.023930065282243437,0.023868983215243986,0.25525240436671803,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,PETR4.SA,245,0.016880013701890295,0.016857812089347446,0.13152603389393586,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,SPY,247,0.00839172901852489,0.008172631727792368,2.6108718507099273,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,VALE3.SA,245,0.016334223237406957,0.016454206128748684,-0.7345491095466038,2025-09-09,2026-09-01
regression,1,ridge,ridge,5,WEGE3.SA,245,0.01850247316554849,0.018495151760178366,0.03956987427905805,2025-09-09,2026-09-01
classification,1,logistic,logistic,1,AAPL,245,0.7040859786333153,0.6969421581912941,1.0146233072114177,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,BOVA11.SA,244,0.6995992847186971,0.6950121677449407,0.6556777678240348,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,ITUB4.SA,244,0.709849715337557,0.6996422069976632,1.4379816064362023,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,JPM,245,0.7043404004882089,0.7101419713083054,-0.823688491541185,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,MSFT,245,0.7305112788721396,0.7007256237084348,4.077371017418355,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,NVDA,245,0.7099823139361561,0.7053940494326906,0.6462505351757385,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,PETR4.SA,244,0.6910550082011755,0.6964185957173276,-0.7761448007031382,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,SPY,245,0.7112698509879783,0.6978959632380956,1.8802832330522663,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,VALE3.SA,244,0.7020741815864234,0.7062402380015759,-0.59339262494153,2021-10-13,2022-10-03
classification,1,logistic,logistic,1,WEGE3.SA,243,0.6996941370047683,0.7044465518642162,-0.6792131887501435,2021-10-13,2022-10-03
classification,1,logistic,logistic,2,AAPL,244,0.6970545083653102,0.69386795790805,0.4571450896620903,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,BOVA11.SA,243,0.70053477762255,0.6966162726010879,0.5593590991671468,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,ITUB4.SA,243,0.7008477028019013,0.7012366673851251,-0.05549915932787716,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,JPM,244,0.7030177029428092,0.6886924630583819,2.0376784004815605,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,MSFT,244,0.7146951611523069,0.7003608732656394,2.0056506138304075,2022-10-04,2023-09-22
classification,1,logistic,logistic,2,NVDA,244,0.7071002193092868,0.7048265890983775,0.3215428518930818,2022-10-04,2023-09-22
