ticker,task,horizon,local_model,global_model,n,local_primary,global_primary,global_improvement_vs_local_pct,local_rmse,local_mae,local_directional_accuracy,global_rmse,global_mae,global_directional_accuracy,criterion,statistic,pvalue_two_sided,pvalue_global_better,hac_lags,qvalue_global_better,local_log_loss,local_brier,local_accuracy,global_log_loss,global_brier,global_accuracy
NVDA,classification,1,logistic,logistic,1226,0.6963150762752671,0.6951091368319734,0.17318875956909377,,,,,,,log_loss,-0.4596936182370825,0.6457361508750232,0.3228680754375116,1,0.4612401077678737,0.6963150762752671,0.2514419349040102,0.5220228384991843,0.6951091368319734,0.2508820761113894,0.5252854812398042
PETR4.SA,classification,1,logistic,logistic,1220,0.6920287839674705,0.6931050681984805,-0.1555259341727929,,,,,,,log_loss,0.5138368360254457,0.6073660716129416,0.6963169641935292,1,0.773685515770588,0.6920287839674705,0.2494284700426399,0.521311475409836,0.6931050681984805,0.2499798260316256,0.5188524590163934
SPY,classification,1,logistic,logistic,1226,0.6943212597543191,0.691784275701204,0.3653905187942513,,,,,,,log_loss,-1.1966739117509084,0.23143367930338998,0.11571683965169505,1,0.19286139941949174,0.6943212597543191,0.25052900876194406,0.5415986949429038,0.691784275701204,0.2493152744435193,0.5424143556280587
VALE3.SA,classification,1,logistic,logistic,1219,0.6916525144105229,0.6967190569284883,-0.7325271595786124,,,,,,,log_loss,2.2066319219419985,0.02733978491012401,0.986330107544938,1,0.986330107544938,0.6916525144105229,0.24923938272538815,0.5242001640689089,0.6967190569284883,0.2517623810634584,0.4913863822805578
WEGE3.SA,classification,1,logistic,logistic,1219,0.6961014390202878,0.6958562004062869,0.03523029838093521,,,,,,,log_loss,-0.10309471881786877,0.9178877964633654,0.45894389823168263,1,0.5736798727896033,0.6961014390202878,0.2514581901565123,0.5036915504511895,0.6958562004062869,0.2513478418574349,0.49876948318293685
AAPL,regression,5,ridge,ridge,1226,0.04001736678172834,0.03969703340476267,0.8004858958184501,0.04001736678172834,0.03085257165324288,0.5415986949429038,0.03969703340476267,0.030635710340730128,0.5538336052202284,mse,-1.6435925662371367,0.10026039050515134,0.050130195252575616,4,0.15839298091625076,,,,,,
BOVA11.SA,regression,5,ridge,ridge,1217,0.025827556350941094,0.02541728714452523,1.5884940907346647,0.025827556350941094,0.02005984978071178,0.4971240755957272,0.02541728714452523,0.019906245739532223,0.5012325390304027,mse,-3.0057366445777047,0.0026493835052878723,0.0013246917526439361,4,0.013246917526439361,,,,,,
ITUB4.SA,regression,5,ridge,ridge,1219,0.034534757042456274,0.03386335253601153,1.9441413924508888,0.034534757042456274,0.026547468712872526,0.49876948318293685,0.03386335253601153,0.026046476082494024,0.5406070549630845,mse,-2.449551103431855,0.014303441107751613,0.007151720553875807,4,0.03575860276937903,,,,,,
JPM,regression,5,ridge,ridge,1225,0.03496348890918804,0.03467502366397723,0.8250470825724889,0.03496348890918804,0.02648263476292692,0.5273469387755102,0.03467502366397723,0.02599542759947554,0.5787755102040816,mse,-1.0662704678838226,0.28630139536443133,0.14315069768221567,4,0.1971101622174111,,,,,,
MSFT,regression,5,ridge,ridge,1226,0.04012908647671871,0.03961868067439395,1.2719098467912489,0.04012908647671871,0.02994055753054924,0.5309951060358891,0.03961868067439395,0.029366613630889316,0.5399673735725938,mse,-1.489361908063231,0.13639209359542304,0.06819604679771152,4,0.15839298091625076,,,,,,
NVDA,regression,5,ridge,ridge,1226,0.07092819354874579,0.0702841046605934,0.9080858484147526,0.07092819354874579,0.055336030566857215,0.5587275693311582,0.0702841046605934,0.054824023468973575,0.5725938009787929,mse,-1.4104970024789385,0.15839298091625076,0.07919649045812538,4,0.15839298091625076,,,,,,
PETR4.SA,regression,5,ridge,ridge,1219,0.046905755305723267,0.04677646565678069,0.27563706862812737,0.046905755305723267,0.035483448105171816,0.538966365873667,0.04677646565678069,0.03558483776310037,0.5471698113207547,mse,-0.29949150308735845,0.7645650542447762,0.382282527122388,4,0.42475836346932,,,,,,
